max_lin_0	max_ang_0	max_lin_1	max_ang_1	x0	y0	x1	y1	shot_0	shot_1	shot_2	shot_3	shot_4	shot_5
0.6	1	0.3	0.2	0	0	-1	-2	6.075000	6.675000	7.275000	7.875000	8.475000	9.075000
0.6	1	0.5	0.2	0	0	-1	-2	10.125000	10.725000	11.325000	11.925000	12.525000	13.125000
0.6	1	0.3	0.3	0	0	-1	-2	4.275000	4.875000	5.475000	6.075000	6.675000	7.275000
0.6	1	0.4	0.3	0	0	-1	-2	4.050000	4.650000	5.250000	5.850000	6.450000	7.050000
0.6	1	0.5	0.3	0	0	-1	-2	13.200000	13.800000	14.400000	15.000000	15.600000	16.200000
0.6	1	0.6	0.3	0	0	-1	-2	8.625000	19.425000	20.025000	20.700000	21.300000	21.900000
0.6	1	0.3	0.4	0	0	-1	-2	4.500000	5.100000	5.700000	6.300000	6.900000	7.500000
0.6	1	0.4	0.4	0	0	-1	-2	3.975000	4.575000	5.175000	5.775000	6.375000	6.975000
0.6	1	0.5	0.4	0	0	-1	-2	3.450000	4.050000	4.650000	5.250000	6.000000	6.600000
0.6	1	0.6	0.4	0	0	-1	-2	28.200000	28.800000	29.400000	30.000000	30.600000	31.200000
0.6	1	0.7	0.4	0	0	-1	-2	59.550000	60.150000	60.750000	61.350000	61.950000	62.550000
0.6	1	0.3	0.5	0	0	-1	-2	5.625000	6.225000	6.825000	7.425000	8.025000	8.625000
0.6	1	0.4	0.5	0	0	-1	-2	3.600000	4.200000	4.800000	5.400000	6.000000	6.600000
0.6	1	0.5	0.5	0	0	-1	-2	3.600000	4.125000	4.725000	5.325000	5.925000	6.525000
0.6	1	0.6	0.5	0	0	-1	-2	18.375000	18.975000	19.575000	20.175000	20.775000	21.375000
0.6	1	0.7	0.5	0	0	-1	-2	60.075000	60.675000	61.275000	61.875000	62.475000	63.075000
0.6	1	0.8	0.5	0	0	-1	-2	16.725000	17.325000	18.000000	18.600000	19.200000	19.800000
0.6	1	0.9	0.5	0	0	-1	-2	15.600000	16.200000	16.950000	18.600000	19.200000	19.800000
0.6	1	0.3	0.6	0	0	-1	-2	6.150000	6.750000	7.350000	8.700000	9.450000	10.050000
0.6	1	0.5	0.6	0	0	-1	-2	3.675000	4.275000	4.875000	5.475000	6.075000	6.675000
0.6	1	0.6	0.6	0	0	-1	-2	3.300000	3.900000	4.500000	5.100000	5.700000	6.300000
0.6	1	0.7	0.6	0	0	-1	-2	4.575000	5.175000	5.775000	6.375000	6.975000	7.575000
0.6	1	0.2	0.7	0	0	-1	-2	4.875000	5.475000	6.075000	6.675000	7.275000	7.875000
0.6	1	0.5	0.7	0	0	-1	-2	6.750000	8.100000	8.850000	9.450000	11.100000	11.625000
0.6	1	0.6	0.7	0	0	-1	-2	5.250000	5.850000	6.450000	7.050000	7.650000	8.250000
0.6	1	0.7	0.7	0	0	-1	-2	10.800000	11.400000	12.300000	24.150000	24.750000	25.275000
0.6	1	1	0.8	0	0	-1	-2	18.975000	19.575000	20.475000	29.250000	29.775000	30.375000
0.6	1	0.2	0.8	0	0	-1	-2	4.350000	4.950000	5.550000	6.150000	6.750000	7.350000
0.6	1	0.3	0.8	0	0	-1	-2	5.400000	6.000000	6.600000	7.200000	8.400000	9.150000
0.6	1	0.4	0.8	0	0	-1	-2	4.500000	5.700000	6.300000	6.900000	7.425000	9.300000
0.6	1	0.5	0.8	0	0	-1	-2	5.700000	6.750000	7.650000	10.200000	10.950000	11.475000
0.6	1	0.6	0.8	0	0	-1	-2	9.225000	10.800000	11.400000	13.200000	13.800000	32.025000
0.6	1	0.8	0.8	0	0	-1	-2	33.075000	33.675000	34.275000	34.875000	35.475000	36.075000
0.6	1	0.9	0.8	0	0	-1	-2	16.200000	16.800000	17.400000	18.000000	18.600000	19.200000
0.6	1	1	0.9	0	0	-1	-2	5.700000	6.900000	7.500000	8.700000	9.900000	10.500000
0.6	1	0.2	0.9	0	0	-1	-2	4.425000	5.025000	5.625000	6.225000	6.825000	7.425000
0.6	1	0.3	0.9	0	0	-1	-2	5.250000	5.775000	6.375000	6.975000	7.575000	8.175000
